subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape, obj1color, obj2shape, obj2color, obj3shape, obj3color, obj4shape, obj4color 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
0,1,7,5,false,true,11green.jpg,stim-images/object13purple.jpg,false,colorfoil,false,11,green,dax,13,None,purple,blue,None,6/26/2018,14:36,7676,3,4
0,NaN,1,2,false,false,4purple.jpg,stim-images/object9green.jpg,true,sedivy,true,4,purple,wug,13,9,red,green,None,6/26/2018,14:37,462,3,0
0,NaN,2,3,false,false,14red.jpg,stim-images/object12purple.jpg,false,uniquetarget,false,14,red,toma,12,None,green,blue,purple,6/26/2018,14:37,4470,2,0
0,NaN,3,4,true,false,8red.jpg,8red.jpg,true,uniquetarget,true,8,red,koba,6,None,blue,green,purple,6/26/2018,14:37,3828,3,0
0,NaN,4,5,true,false,10purple.jpg,10purple.jpg,false,colorfoil,true,10,purple,blicket,7,None,green,red,None,6/26/2018,14:37,3954,3,1
0,NaN,5,1,false,false,1red.jpg,stim-images/object11blue.jpg,false,sedivy,true,1,red,sprock,5,11,purple,blue,None,6/26/2018,14:37,4240,2,1
0,NaN,6,6,false,false,2purple.jpg,stim-images/object3blue.jpg,true,colorfoil,false,2,purple,dax,3,None,blue,red,None,6/26/2018,14:37,2611,3,1
0,NaN,7,6,false,false,2purple.jpg,stim-images/object3blue.jpg,true,colorfoil,false,2,purple,dax,3,None,blue,red,None,6/26/2018,14:37,2885,3,1
0,NaN,1,2,true,false,6green.jpg,6green.jpg,true,sedivy,false,6,green,blicket,3,2,blue,purple,None,6/26/2018,14:37,7542,4,0
0,NaN,2,3,false,false,14blue.jpg,stim-images/object8purple.jpg,false,uniquetarget,false,14,blue,sprock,8,None,red,green,purple,6/26/2018,14:37,7437,1,0
0,NaN,3,4,false,false,1blue.jpg,stim-images/object5green.jpg,true,uniquetarget,false,1,blue,wug,5,None,green,purple,red,6/26/2018,14:37,5142,1,0
0,NaN,4,6,false,false,4purple.jpg,stim-images/object9red.jpg,true,colorfoil,false,4,purple,dax,9,None,red,green,None,6/26/2018,14:37,4093,1,4
0,NaN,5,1,false,false,10red.jpg,stim-images/object13red.jpg,false,sedivy,true,10,red,toma,13,7,purple,blue,None,6/26/2018,14:37,1176,4,4
0,NaN,6,5,false,false,12blue.jpg,stim-images/object11green.jpg,false,colorfoil,false,12,blue,gade,11,None,red,green,None,6/26/2018,14:37,1076,4,2
0,NaN,1,2,false,false,12red.jpg,stim-images/object10red.jpg,true,sedivy,true,12,red,dax,10,7,green,blue,None,6/26/2018,14:41,5639,3,0
0,NaN,2,6,true,false,1red.jpg,1red.jpg,true,colorfoil,true,1,red,sprock,2,None,blue,purple,None,6/26/2018,14:41,2758,1,2
0,NaN,3,4,false,true,3red.jpg,stim-images/object9green.jpg,true,uniquetarget,false,3,red,gade,9,None,blue,purple,green,6/26/2018,14:41,2438,4,2
0,NaN,4,5,true,false,14green.jpg,14green.jpg,false,colorfoil,true,14,green,wug,11,None,blue,purple,None,6/26/2018,14:41,3199,2,3
0,NaN,5,1,false,true,8green.jpg,stim-images/object8purple.jpg,false,sedivy,false,8,green,koba,13,4,purple,blue,None,6/26/2018,14:41,2663,4,3
0,NaN,6,3,false,true,6red.jpg,stim-images/object5green.jpg,false,uniquetarget,false,6,red,toma,5,None,green,blue,purple,6/26/2018,14:41,2623,2,3
0,0,1,3,false,false,10red.jpg,stim-images/object8green.jpg,false,uniquetarget,false,10,red,wug,8,None,purple,blue,green,6/26/2018,14:44,3278,1,0
0,0,2,6,false,true,6red.jpg,stim-images/object5red.jpg,true,colorfoil,false,6,red,toma,5,None,purple,green,None,6/26/2018,14:44,2621,1,2
0,0,3,2,true,false,14purple.jpg,14purple.jpg,true,sedivy,false,14,purple,koba,1,13,blue,green,None,6/26/2018,14:44,3709,3,2
0,0,4,5,true,false,4green.jpg,4green.jpg,false,colorfoil,true,4,green,dax,7,None,blue,purple,None,6/26/2018,14:44,3008,4,3
0,0,5,4,true,false,3blue.jpg,3blue.jpg,true,uniquetarget,true,3,blue,sprock,9,None,green,purple,red,6/26/2018,14:44,3615,1,3
0,0,6,1,false,true,11purple.jpg,stim-images/object2purple.jpg,false,sedivy,true,11,purple,blicket,2,12,green,blue,None,6/26/2018,14:44,3381,1,3
P,NaN,1,4,true,false,2green.jpg,2green.jpg,true,uniquetarget,true,2,green,blicket,13,None,blue,red,purple,6/26/2018,14:45,4359,2,0
P,NaN,2,6,true,false,12green.jpg,12green.jpg,true,colorfoil,true,12,green,koba,9,None,red,purple,None,6/26/2018,14:45,4557,4,2
P,NaN,3,3,false,false,7green.jpg,stim-images/object3blue.jpg,false,uniquetarget,false,7,green,dax,3,None,red,purple,blue,6/26/2018,14:45,2646,2,2
P,NaN,4,1,true,false,6green.jpg,6green.jpg,false,sedivy,false,6,green,gade,10,11,blue,red,None,6/26/2018,14:45,3554,2,2
P,NaN,5,2,true,false,14purple.jpg,14purple.jpg,true,sedivy,false,14,purple,wug,8,1,green,blue,None,6/26/2018,14:45,3259,2,2
P,NaN,6,5,true,false,5purple.jpg,5purple.jpg,false,colorfoil,true,5,purple,sprock,4,None,red,green,None,6/26/2018,14:45,2590,2,4
G,NaN,1,1,false,false,10green.jpg,stim-images/object12green.jpg,false,sedivy,true,10,green,gade,12,6,purple,red,None,6/26/2018,14:46,2566,4,0
G,NaN,2,5,true,false,9purple.jpg,9purple.jpg,false,colorfoil,true,9,purple,wug,7,None,red,green,None,6/26/2018,14:46,2729,4,3
G,NaN,3,3,false,false,5red.jpg,stim-images/object11purple.jpg,false,uniquetarget,false,5,red,blicket,11,None,blue,green,purple,6/26/2018,14:46,3088,3,3
G,NaN,4,2,false,true,14blue.jpg,stim-images/object13green.jpg,true,sedivy,true,14,blue,dax,4,13,red,green,None,6/26/2018,14:46,3907,1,3
G,NaN,5,4,false,true,8blue.jpg,stim-images/object1green.jpg,true,uniquetarget,false,8,blue,koba,1,None,green,red,purple,6/26/2018,14:46,3073,1,3
G,NaN,6,6,false,true,2green.jpg,stim-images/object3green.jpg,true,colorfoil,false,2,green,toma,3,None,red,blue,None,6/26/2018,14:46,2856,3,4
H,NaN,1,6,true,false,12red.jpg,12red.jpg,true,colorfoil,true,12,red,sprock,3,None,purple,green,None,6/26/2018,14:49,2634,4,1
H,NaN,2,3,false,false,6red.jpg,stim-images/object13green.jpg,false,uniquetarget,false,6,red,koba,13,None,green,purple,blue,6/26/2018,14:49,3037,1,1
H,NaN,3,1,true,false,7purple.jpg,7purple.jpg,false,sedivy,false,7,purple,blicket,4,10,red,blue,None,6/26/2018,14:49,2701,2,1
H,NaN,4,5,false,false,9red.jpg,stim-images/object1purple.jpg,false,colorfoil,false,9,red,gade,1,None,blue,purple,None,6/26/2018,14:49,3402,1,4
H,NaN,5,2,false,false,8blue.jpg,stim-images/object2purple.jpg,true,sedivy,true,8,blue,dax,14,2,green,purple,None,6/26/2018,14:49,2750,3,4
H,NaN,6,4,true,false,5purple.jpg,5purple.jpg,true,uniquetarget,true,5,purple,toma,11,None,green,blue,red,6/26/2018,14:49,4739,2,4
3,4,1,3,true,false,13red.jpg,13red.jpg,false,uniquetarget,true,13,red,dax,12,None,green,purple,blue,6/26/2018,14:56,34207,3,0
3,4,2,4,true,false,1red.jpg,1red.jpg,true,uniquetarget,true,1,red,toma,3,None,purple,blue,green,6/26/2018,14:56,12014,1,0
3,4,3,2,false,false,7red.jpg,stim-images/object14red.jpg,true,sedivy,true,7,red,gade,14,2,blue,green,None,6/26/2018,14:56,7858,3,0
3,4,4,1,false,false,8blue.jpg,stim-images/object4blue.jpg,false,sedivy,true,8,blue,wug,4,9,purple,green,None,6/26/2018,14:56,8302,2,0
3,4,5,5,true,false,6blue.jpg,6blue.jpg,false,colorfoil,true,6,blue,sprock,11,None,purple,red,None,6/26/2018,14:56,5314,3,1
3,4,6,6,true,false,10blue.jpg,10blue.jpg,true,colorfoil,true,10,blue,koba,5,None,green,red,None,6/26/2018,14:56,5930,2,3
4,6,1,4,true,false,12green.jpg,12green.jpg,true,uniquetarget,true,12,green,gade,7,None,blue,purple,red,6/26/2018,15:43,4664,1,0
4,6,2,6,false,true,9red.jpg,stim-images/object13red.jpg,true,colorfoil,false,9,red,wug,13,None,blue,purple,None,6/26/2018,15:43,4785,1,4
